"Municipio/
Demarcación territorial",personal ocupado,toneladas de residuos 
Total,  21 660, 15 557 424
Azcapotzalco,412,  712 328
Coyoacán,2164, 1 100 000
Cuajimalpa de Morelos,486,  610 296
Gustavo A. Madero,2943, 3 021 000
Iztacalco,990,  880 000
Iztapalapa,4035, 1 070 500
La Magdalena Contreras,550,  450 000
Milpa Alta,418,  84 900
Álvaro Obregón,950,  851 000
Tláhuac,653,  293 000
Tlalpan,1066, 1 126 400
Xochimilco,780,  671 000
Benito Juárez,1540,  550 000
Cuauhtémoc,2065, 1 760 000
Miguel Hidalgo,1057,  977 000
Venustiano Carranza,1551, 1 400 000
